# 分类,频道，清晰度,来源,地址[,排序]

央视,CCTV-1综合,高清,华数,http://125.210.152.18:9090/live/CCTV1HD_H265.m3u8
央视,CCTV-2财经,高清,华数,http://125.210.152.18:9090/live/CCTV2HD_H265.m3u8
央视,CCTV-3综艺,高清,华数,http://125.210.152.18:9090/live/CCTV3HD_H265.m3u8
央视,CCTV-4中文国际,标清,华数,http://125.210.152.18:9090/live/CCTV4.m3u8
央视,CCTV-5体育,高清,华数,http://125.210.152.18:9090/live/CCTV5HD_H265.m3u8
央视,CCTV-5+体育赛事,高清,华数,http://125.210.152.18:9090/live/TYSSHD_H265.m3u8
央视,CCTV-6电影,高清,华数,http://125.210.152.18:9090/live/CCTV6HD_H265.m3u8
央视,CCTV-7国防军事,高清,华数,http://125.210.152.18:9090/live/CCTV7HD_H265.m3u8
央视,CCTV-8电视剧,高清,华数,http://125.210.152.18:9090/live/CCTV8HD_H265.m3u8
央视,CCTV-9记录,高清,华数,http://125.210.152.18:9090/live/CCTVJLHD_H265.m3u8
央视,CCTV-10科教,高清,华数,http://125.210.152.18:9090/live/CCTV10HD_H265.m3u8
央视,CCTV-11戏曲,标清,华数,http://125.210.152.18:9090/live/CCTV11.m3u8
央视,CCTV-12社会与法,高清,华数,http://125.210.152.18:9090/live/CCTV12HD_H265.m3u8
央视,CCTV-13新闻,标清,华数,http://125.210.152.18:9090/live/CCTV13.m3u8
央视,CCTV-14少儿,高清,华数,http://125.210.152.18:9090/live/CCTV14HD_H265.m3u8
央视,CCTV-15音乐,标清,华数,http://125.210.152.18:9090/live/ZYYY.m3u8
央视,CCTV卫生健康,标清,华数,http://125.210.152.18:9090/live/WSJK.m3u8
央视,CCTV风云音乐,标清,华数,http://125.210.152.18:9090/live/FYYY.m3u8
央视,CCTV央视文化精品,标清,华数,http://125.210.152.18:9090/live/YSWHJP.m3u8
央视,CCTV怀旧剧场,标清,华数,http://125.210.152.18:9090/live/HJJC.m3u8
央视,CCTV高尔夫网球,标清,华数,http://125.210.152.18:9090/live/GEFWQ.m3u8
央视,CCTV风云剧场,标清,华数,http://125.210.152.18:9090/live/FYJC.m3u8
